id,name,type,rti_status,portfolio_minister,rti_page_url,disclosure_log_url,disclosure_log_format,disclosure_log_url_evidence,verification_status,notes,search_status
aboriginal_heritage_council,Aboriginal Heritage Council,statutory,full,,,,unknown,,network_blocked_search_only,Aboriginal Heritage Act 1975 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
adc,Anti-Discrimination Commissioner (Equal Opportunity Tasmania),statutory,partial,,,,unknown,,network_blocked_search_only,,searched_none_found
adt,Anti-Discrimination Tribunal,statutory,partial,,,,unknown,,network_blocked_search_only,"abolished (memory: 2021-11-05), successor tascat. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
ambulance_tas,Ambulance Tasmania,business_unit,via_parent,"Health, Mental Health and Wellbeing (Bridget Archer)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Division of Department of Health (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
arts_tas,Arts Tasmania,business_unit,via_parent,the Arts (Roger Jaensch),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Snippet Q6 describes Arts Tasmania's role. To TECT Dec 2026.]",not_searched
audit_office,Tasmanian Audit Office (Audit Tasmania) / Auditor-General,statutory,partial,,https://audit.tas.gov.au/rti/,,unknown,,network_blocked_search_only,Has its own RTI page despite s 6 exclusion (administration information). One snippet claimed s 53 requires Audit Tasmania to report on RTI administration - conflicts with memory (Minister/Justice reports annually) - UNCERTAIN.,not_searched
aurora,Aurora Energy,soc,full,Minister for Energy and Renewables,https://auroraenergy.com.au/about/who-we-are/about-us-charters-policies,,unknown,"Search summary says 'Aurora Energy's previous disclosures under Right to Information are available on their website', but no log URL returned. ABC 2026-05-20: Aurora 'would set them up' (snippet_verified, search summary).",network_blocked_search_only,"Application fee $49.00 as at 1 July 2026 (search summary). Tasmanian electricity/gas retailer; distribution business moved to TasNetworks 1 July 2014 (memory). Under privatisation assessment (May 2025, search summary).",searched_none_found
bcitb,Building and Construction Industry Training Board,statutory,full,,,,unknown,,network_blocked_search_only,Building and Construction Industry Training Fund Act 1990 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
bdm,"Registry of Births, Deaths and Marriages",business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original:  No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
brand_tas,Brand Tasmania,statutory,full,,,,unknown,,network_blocked_search_only,Brand Tasmania Act 2018 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
